status_id,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7331091005_10154098206356006,45,87,3176,55,14,2,0,0
7331091005_10154098097241006,237,617,6613,50,5,363,1,1
7331091005_10154097973101006,19,21,355,3,3,1,0,0
7331091005_10154097871891006,623,247,5930,78,14,388,3,86
7331091005_10154097784381006,53,48,887,5,0,44,0,1
7331091005_10154097602056006,342,1520,10814,165,54,141,2,9
7331091005_10154097252971006,59,71,1302,20,0,12,0,2
7331091005_10154097141736006,459,596,8537,186,27,57,3,3
7331091005_10154097035991006,69,91,1430,9,6,76,0,3
7331091005_10154096899946006,175,467,7082,99,124,10,1,3
7331091005_10154096352541006,2016,7672,14129,55,102,1408,13,291
7331091005_10154096216546006,3082,7973,18985,77,181,2412,8,25
7331091005_10154096195321006,1584,6517,23300,467,173,686,7,41
7331091005_10154096151816006,3058,3101,15110,73,182,2984,66,123
7331091005_10154096130721006,2456,14755,49733,352,217,2625,2743,220
7331091005_10154096092551006,652,3942,22968,428,581,98,5,66
7331091005_10154096087346006,232,2172,22988,506,243,52,7,47
7331091005_10154096058201006,361,1723,5301,44,9,1041,1,7
7331091005_10154096041401006,7964,49872,56028,848,160,7079,30,86
7331091005_10154096027771006,25748,161719,117818,1710,175,18181,55,189
7331091005_10154095970726006,2193,3933,19861,67,184,2287,29,20
7331091005_10154095873071006,489,743,6089,22,142,203,67,28
7331091005_10154095830301006,61,36,600,6,2,28,0,4
7331091005_10154095728876006,29,105,2434,68,7,0,0,0
7331091005_10154095424151006,598,804,12309,41,351,127,704,93
7331091005_10154095363551006,108,136,3096,39,4,36,0,2
7331091005_10154095167661006,1449,1169,8241,20,47,899,1,23
7331091005_10154095149521006,150,270,3218,45,2,70,1,6
7331091005_10154095052716006,541,551,4964,11,161,37,0,1
7331091005_10154094941546006,172,102,567,1,12,18,1,20
7331091005_10154094910256006,280,245,1012,6,56,114,4,36
7331091005_10154094890206006,134,84,1209,5,9,137,0,4
7331091005_10154094840346006,569,732,4795,45,5,277,1,2
7331091005_10154094572301006,68,0,7661,373,19,2,247,3
7331091005_10154094531221006,889,1444,6178,22,149,431,1,2
7331091005_10154094530296006,209,147,1332,6,12,180,16,3
7331091005_10154094514821006,584,2218,11196,335,70,186,4,11
7331091005_10154094343691006,70,374,1726,15,5,0,352,0
7331091005_10154093476106006,122,192,1105,6,25,110,1,0
7331091005_10154093440696006,3297,9229,17021,101,13,1616,4,5
7331091005_10154093369096006,59,117,1878,68,13,9,4,19
7331091005_10154093063921006,619,1903,26443,357,61,560,1,1
7331091005_10154093037081006,146,166,5927,64,5,75,5,1
7331091005_10154093012316006,50,99,1038,4,12,4,0,0
7331091005_10154092983701006,184,2025,6763,58,10,491,2,7
7331091005_10154092861261006,1128,3795,18105,287,333,58,4,11
